ID	occurrenceId	measurementType	measurementValue	measurementUnit
185	EC:AAN:VAR:201708:001	ACC	71	centimetros
186	EC:AAN:VAR:201708:001	AC	11	centimetros
187	EC:AAN:VAR:201708:002	LCC	90	centimetros
188	EC:AAN:VAR:201708:002	ACC	91	centimetros
189	EC:AAN:VAR:201708:002	AC	10	centimetros
190	EC:AAN:VAR:201708:003	LCC	75	centimetros
191	EC:AAN:VAR:201708:003	ACC	74	centimetros
192	EC:AAN:VAR:201708:003	AC	10	centimetros
193	EC:AAN:VAR:201708:004	LCC	68	centimetros
194	EC:AAN:VAR:201708:004	ACC	67	centimetros
195	EC:AAN:VAR:201708:004	AC	11	centimetros
196	EC:AAN:VAR:201709:001	LCC	72	centimetros
197	EC:AAN:VAR:201709:001	ACC	72	centimetros
198	EC:AAN:VAR:201709:001	AC	10	centimetros
199	EC:AAN:VAR:201709:002	LCC	56	centimetros
200	EC:AAN:VAR:201709:002	ACC	58	centimetros
201	EC:AAN:VAR:201709:003	LCC	51	centimetros
202	EC:AAN:VAR:201709:003	ACC	53	centimetros
203	EC:AAN:VAR:201709:004	LCC	77	centimetros
204	EC:AAN:VAR:201709:004	ACC	79	centimetros
205	EC:AAN:VAR:201709:005	LCC	81	centimetros
206	EC:AAN:VAR:201709:005	ACC	83	centimetros
207	EC:AAN:VAR:201709:005	AC	11	centimetros
208	EC:AAN:VAR:201709:006	LCC	73	centimetros
209	EC:AAN:VAR:201709:006	ACC	71	centimetros
210	EC:AAN:VAR:201709:006	AC	11	centimetros
211	EC:AAN:VAR:201709:007	LCC	78	centimetros
212	EC:AAN:VAR:201709:007	ACC	77	centimetros
213	EC:AAN:VAR:201709:007	AC	11	centimetros
214	EC:AAN:VAR:201709:008	LCC	74	centimetros
215	EC:AAN:VAR:201709:008	ACC	71	centimetros
216	EC:AAN:VAR:201709:008	AC	12	centimetros
217	EC:AAN:VAR:202101:002	LCC	70	centimetros
218	EC:AAN:VAR:202101:002	LCR	68	centimetros
219	EC:AAN:VAR:202101:002	ACC	44	centimetros
220	EC:AAN:VAR:202101:002	AP	50	centimetros
221	EC:AAN:VAR:202101:002	LP	54	centimetros
222	EC:AAN:VAR:202101:003	LCC	50	centimetros
223	EC:AAN:VAR:202101:003	LCR	55	centimetros
224	EC:AAN:VAR:202101:003	ACC	40	centimetros
225	EC:AAN:VAR:202101:003	AP	42	centimetros
226	EC:AAN:VAR:202101:003	LP	48	centimetros
227	EC:AAN:VAR:202101:004	LCC	69	centimetros
228	EC:AAN:VAR:202101:004	LCR	60	centimetros
229	EC:AAN:VAR:202101:004	ACC	75	centimetros
230	EC:AAN:VAR:202101:004	AP	60	centimetros
231	EC:AAN:VAR:202101:004	LP	50	centimetros
232	EC:AAN:VAR:202101:005	LCC	70	centimetros
233	EC:AAN:VAR:202101:005	LCR	65	centimetros
234	EC:AAN:VAR:202101:005	ACC	70	centimetros
235	EC:AAN:VAR:202101:005	AP	60	centimetros
236	EC:AAN:VAR:202101:005	LP	58	centimetros
237	EC:AAN:VAR:202101:006	LCC	62	centimetros
238	EC:AAN:VAR:202101:006	LCR	60	centimetros
239	EC:AAN:VAR:202101:006	ACC	58	centimetros
240	EC:AAN:VAR:202101:006	AP	52	centimetros
241	EC:AAN:VAR:202101:006	LP	60	centimetros
242	EC:AAN:VAR:202101:007	LCC	65	centimetros
243	EC:AAN:VAR:202101:007	LCR	58	centimetros
244	EC:AAN:VAR:202101:007	ACC	60	centimetros
245	EC:AAN:VAR:202101:007	AP	58	centimetros
246	EC:AAN:VAR:202101:007	LP	60	centimetros
247	EC:AAN:VAR:202101:008	LCC	70	centimetros
248	EC:AAN:VAR:202101:008	LCR	72	centimetros
249	EC:AAN:VAR:202101:008	ACC	65	centimetros
250	EC:AAN:VAR:202101:008	AP	60	centimetros
251	EC:AAN:VAR:202101:008	LP	65	centimetros
252	EC:AAN:VAR:202101:009	LCC	65	centimetros
253	EC:AAN:VAR:202101:009	LCR	62	centimetros
254	EC:AAN:VAR:202101:009	ACC	60	centimetros
255	EC:AAN:VAR:202101:009	AP	60	centimetros
256	EC:AAN:VAR:202101:009	LP	62	centimetros
257	EC:AAN:VAR:202101:010	LCC	79	centimetros
258	EC:AAN:VAR:202101:010	LCR	68	centimetros
259	EC:AAN:VAR:202101:010	ACC	74	centimetros
260	EC:AAN:VAR:202101:010	AP	49	centimetros
261	EC:AAN:VAR:202101:010	LP	54	centimetros
262	EC:AAN:VAR:202101:011	LCC	57	centimetros
263	EC:AAN:VAR:202101:011	LCR	54	centimetros
264	EC:AAN:VAR:202101:011	ACC	58	centimetros
265	EC:AAN:VAR:202101:011	AP	48	centimetros
266	EC:AAN:VAR:202101:011	LP	50	centimetros
267	EC:AAN:VAR:202101:012	LCC	56	centimetros
268	EC:AAN:VAR:202101:012	LCR	51	centimetros
269	EC:AAN:VAR:202101:012	ACC	62	centimetros
270	EC:AAN:VAR:202101:012	AP	41	centimetros
271	EC:AAN:VAR:202101:012	LP	43	centimetros
272	EC:AAN:VAR:202101:013	LCC	66	centimetros
273	EC:AAN:VAR:202101:013	LCR	64	centimetros
274	EC:AAN:VAR:202101:013	ACC	69	centimetros
275	EC:AAN:VAR:202101:013	AP	46	centimetros
276	EC:AAN:VAR:202101:013	LP	47	centimetros
277	EC:AAN:VAR:202101:014	LCC	64	centimetros
278	EC:AAN:VAR:202101:014	LCR	58	centimetros
279	EC:AAN:VAR:202101:014	ACC	70	centimetros
280	EC:AAN:VAR:202101:014	AP	50	centimetros
281	EC:AAN:VAR:202101:014	LP	47	centimetros
282	EC:AAN:VAR:202001:001	LT	1.6	metros
283	EC:AAN:VAR:202001:002	LT	3.1	metros
284	EC:AAN:VAR:202001:003	LT	2.95	metros
285	EC:AAN:VAR:202001:004	LT	2.6	metros
286	EC:AAN:VAR:202008:001	LT	2.02	metros
287	EC:AAN:VAR:202008:002	LT	2.97	metros
288	EC:AAN:VAR:202009:001	LT	2.73	metros
289	EC:AAN:VAR:202009:002	LT	2.94	metros
290	EC:AAN:VAR:202012:001	LT	1.95	metros
291	EC:AAN:VAR:201901:001	LT	230	centimetros
292	EC:AAN:VAR:201901:002	LT	215	centimetros
293	EC:AAN:VAR:201901:003	LT	189	centimetros
294	EC:AAN:VAR:201901:004	LT	245	centimetros
295	EC:AAN:VAR:201901:005	LT	275	centimetros
296	EC:AAN:VAR:201901:006	LT	244	centimetros
297	EC:AAN:VAR:201901:007	LT	235	centimetros
298	EC:AAN:VAR:201901:008	LT	309	centimetros
299	EC:AAN:VAR:201901:009	LT	170	centimetros
300	EC:AAN:VAR:201901:010	LT	282	centimetros
301	EC:AAN:VAR:201901:011	LT	270	centimetros
302	EC:AAN:VAR:201801:001	LT	109	centimetros
303	EC:AAN:VAR:201801:002	LT	305	centimetros
304	EC:AAN:VAR:201802:001	LT	272	centimetros
305	EC:AAN:VAR:201803:001	LT	265	centimetros
306	EC:AAN:VAR:201803:002	LT	290	centimetros
307	EC:AAN:VAR:201804:001	LT	240	centimetros
308	EC:AAN:VAR:201807:001	LT	303	centimetros
309	EC:AAN:VAR:201807:002	LT	250	centimetros
310	EC:AAN:VAR:201809:001	LT	2.72	metros
311	EC:AAN:VAR:201809:002	LT	2.65	metros
312	EC:AAN:VAR:201811:001	LT	1.5	metros
313	EC:AAN:VAR:201811:002	LT	2.7	metros
314	EC:AAN:VAR:201812:001	LT	1.87	metros
315	EC:AAN:VAR:201812:002	LT	2.32	metros
316	EC:AAN:VAR:201812:003	LT	3	metros
317	EC:AAN:VAR:201812:004	LT	2.45	metros
318	EC:AAN:VAR:201801:001	LC	65	centimetros
319	EC:AAN:VAR:201802:001	LC	259	centimetros
320	EC:AAN:VAR:201803:001	LC	226	centimetros
321	EC:AAN:VAR:201803:002	LC	247	centimetros
322	EC:AAN:VAR:201804:001	LC	50	centimetros
323	EC:AAN:VAR:201807:001	LC	217	centimetros
324	EC:AAN:VAR:201807:002	LC	194	centimetros
325	EC:AAN:VAR:201809:001	LC	2.3	metros
326	EC:AAN:VAR:201809:002	LC	2.1	metros
327	EC:AAN:VAR:201811:001	LC	0.85	metros
328	EC:AAN:VAR:201811:002	LC	2.24	metros
329	EC:AAN:VAR:201812:001	LC	1.65	metros
330	EC:AAN:VAR:201812:002	LC	2.1	metros
331	EC:AAN:VAR:201812:003	LC	2.56	metros
332	EC:AAN:VAR:201812:004	LC	2.25	metros
333	REMACOPSE-2020-01-001	LCC	65	centimetros
334	REMACOPSE-2020-01-002	LCC	64	centimetros
335	REMACOPSE-2020-01-003	LCC	55	centimetros
336	REMACOPSE-2020-02-001	LCC	75	centimetros
337	REMACOPSE-2020-02-002	LCC	58	centimetros
338	REMACOPSE-2020-02-003	LCC	55	centimetros
339	REMACOPSE-2020-06-001	LCC	77	centimetros
340	REMACOPSE-2020-06-003	LCC	64	centimetros
341	REMACOPSE-2020-06-004	LCC	65	centimetros
342	REMACOPSE-2020-06-005	LCC		centimetros
343	REMACOPSE-2020-06-006	LCC	85	centimetros
344	REMACOPSE-2020-06-007	LCC	62	centimetros
345	REMACOPSE-2020-06-008	LCC	62	centimetros
346	REMACOPSE-2020-06-009	LCC	53	centimetros
347	REMACOPSE-2020-06-010	LCC	66	centimetros
348	REMACOPSE-2020-06-011	LCC	72	centimetros
349	REMACOPSE-2020-06-012	LCC	65	centimetros
350	REMACOPSE-2020-06-013	LCC	61	centimetros
351	REMACOPSE-2020-06-014	LCC	68.5	centimetros
352	REMACOPSE-2020-06-015	LCC	132	centimetros
353	REMACOPSE-2020-06-016	LCC	63	centimetros
354	REMACOPSE-2020-06-017	LCC	68	centimetros
355	REMACOPSE-2020-07-001	LCC	77	centimetros
356	REMACOPSE-2020-07-002	LCC	56	centimetros
357	REMACOPSE-2020-07-003	LCC	63	centimetros
358	REMACOPSE-2020-07-004	LCC	63	centimetros
359	REMACOPSE-2020-07-005	LCC	68.5	centimetros
361	REMACOPSE-2020-07-007	LCC	56	centimetros
362	REMACOPSE-2020-07-008	LCC	69.5	centimetros
363	REMACOPSE-2020-07-009	LCC	55	centimetros
364	REMACOPSE-2020-08-001	LCC	51	centimetros
365	REMACOPSE-2020-08-002	LCC	57	centimetros
366	REMACOPSE-2020-08-003	LCC	59	centimetros
367	REMACOPSE-2020-08-004	LCC	56	centimetros
368	REMACOPSE-2020-08-005	LCC	49.8	centimetros
369	REMACOPSE-2020-08-006	LCC	62	centimetros
371	REMACOPSE-2020-08-008	LCC	59	centimetros
372	REMACOPSE-2020-08-009	LCC	62.5	centimetros
373	REMACOPSE-2020-08-010	LCC	68.5	centimetros
374	REMACOPSE-2020-08-011	LCC	56	centimetros
375	REMACOPSE-2020-08-012	LCC	59	centimetros
376	REMACOPSE-2020-08-013	LCC	70	centimetros
377	REMACOPSE-2020-08-014	LCC	73	centimetros
378	REMACOPSE-2020-08-015	LCC	59	centimetros
379	REMACOPSE-2020-09-001	LCC	48	centimetros
380	REMACOPSE-2020-09-002	LCC	72	centimetros
381	REMACOPSE-2020-09-003	LCC	36	centimetros
382	REMACOPSE-2020-09-004	LCC	54	centimetros
383	REMACOPSE-2020-09-005	LCC	63	centimetros
384	REMACOPSE-2020-09-006	LCC	53	centimetros
385	REMACOPSE-2020-09-007	LCC	58	centimetros
386	REMACOPSE-2020-09-008	LCC	23	centimetros
388	REMACOPSE-2020-09-010	LCC	67	centimetros
389	REMACOPSE-2020-09-011	LCC	68	centimetros
390	REMACOPSE-2020-09-012	LCC	61	centimetros
391	REMACOPSE-2020-09-013	LCC	63	centimetros
392	REMACOPSE-2020-09-014	LCC	56	centimetros
393	REMACOPSE-2020-09-015	LCC	71	centimetros
394	REMACOPSE-2020-09-016	LCC	53	centimetros
395	REMACOPSE-2020-09-017	LCC	71	centimetros
396	REMACOPSE-2020-09-018	LCC	60	centimetros
397	REMACOPSE-2020-09-019	LCC	54	centimetros
398	REMACOPSE-2020-09-020	LCC	70	centimetros
399	REMACOPSE-2020-09-021	LCC	55	centimetros
400	REMACOPSE-2020-09-022	LCC	45	centimetros
401	REMACOPSE-2020-10-001	LCC	61	centimetros
402	REMACOPSE-2020-10-002	LCC	65	centimetros
403	REMACOPSE-2020-10-003	LCC	65	centimetros
404	REMACOPSE-2020-10-004	LCC	45	centimetros
405	REMACOPSE-2020-10-005	LCC	60	centimetros
406	REMACOPSE-2020-10-006	LCC	56	centimetros
407	REMACOPSE-2020-10-007	LCC	69	centimetros
408	REMACOPSE-2020-11-001	LCC	59	centimetros
409	REMACOPSE-2020-11-002	LCC	60	centimetros
410	REMACOPSE-2020-11-003	LCC	57	centimetros
412	REMACOPSE-2020-11-005	LCC	64	centimetros
413	REMACOPSE-2020-11-006	LCC	62	centimetros
414	REMACOPSE-2020-11-007	LCC	62	centimetros
415	REMACOPSE-2020-ND-001	LCC	67	centimetros
416	REMACOPSE-2020-12-001	LCC	69	centimetros
418	REMACOPSE-2020-12-003	LCC	54	centimetros
419	REMACOPSE-2020-12-004	LCC	59	centimetros
420	REMACOPSE-2020-12-005	LCC	64	centimetros
421	REMACOPSE-2020-12-006	LCC	53	centimetros
422	REMACOPSE-2020-12-007	LCC	72	centimetros
423	REMACOPSE-2020-12-008	LCC	62	centimetros
424	REMACOPSE-2020-12-009	LCC	69	centimetros
425	REMACOPSE-2020-12-010	LCC	52	centimetros
426	REMACOPSE-2020-01-001	ACC	58	centimetros
427	REMACOPSE-2020-01-002	ACC	60	centimetros
428	REMACOPSE-2020-01-003	ACC	54	centimetros
429	REMACOPSE-2020-02-001	ACC	72	centimetros
430	REMACOPSE-2020-02-002	ACC	55	centimetros
431	REMACOPSE-2020-02-003	ACC	52	centimetros
432	REMACOPSE-2020-06-001	ACC	81	centimetros
433	REMACOPSE-2020-06-003	ACC	64	centimetros
434	REMACOPSE-2020-06-004	ACC	64	centimetros
436	REMACOPSE-2020-06-006	ACC	80	centimetros
437	REMACOPSE-2020-06-007	ACC	64	centimetros
438	REMACOPSE-2020-06-008	ACC	58	centimetros
439	REMACOPSE-2020-06-009	ACC	48	centimetros
440	REMACOPSE-2020-06-010	ACC	73	centimetros
441	REMACOPSE-2020-06-011	ACC	70	centimetros
442	REMACOPSE-2020-06-012	ACC	65	centimetros
443	REMACOPSE-2020-06-013	ACC	62.5	centimetros
444	REMACOPSE-2020-06-014	ACC	69	centimetros
445	REMACOPSE-2020-06-015	ACC	87	centimetros
446	REMACOPSE-2020-06-016	ACC	69	centimetros
447	REMACOPSE-2020-06-017	ACC	66	centimetros
448	REMACOPSE-2020-07-001	ACC	68	centimetros
449	REMACOPSE-2020-07-002	ACC	57	centimetros
450	REMACOPSE-2020-07-003	ACC	61	centimetros
451	REMACOPSE-2020-07-004	ACC	54	centimetros
452	REMACOPSE-2020-07-005	ACC	68	centimetros
454	REMACOPSE-2020-07-007	ACC	57	centimetros
455	REMACOPSE-2020-07-008	ACC	68	centimetros
456	REMACOPSE-2020-07-009	ACC	50	centimetros
457	REMACOPSE-2020-08-001	ACC	60	centimetros
458	REMACOPSE-2020-08-002	ACC	61	centimetros
459	REMACOPSE-2020-08-003	ACC	65	centimetros
460	REMACOPSE-2020-08-004	ACC	61	centimetros
461	REMACOPSE-2020-08-005	ACC	48.5	centimetros
462	REMACOPSE-2020-08-006	ACC	71	centimetros
464	REMACOPSE-2020-08-008	ACC	58	centimetros
465	REMACOPSE-2020-08-009	ACC	67	centimetros
466	REMACOPSE-2020-08-010	ACC	73.5	centimetros
467	REMACOPSE-2020-08-011	ACC	52	centimetros
468	REMACOPSE-2020-08-012	ACC	58	centimetros
469	REMACOPSE-2020-08-013	ACC	70	centimetros
470	REMACOPSE-2020-08-014	ACC	67	centimetros
471	REMACOPSE-2020-08-015	ACC	57	centimetros
472	REMACOPSE-2020-09-001	ACC	53	centimetros
473	REMACOPSE-2020-09-002	ACC	68	centimetros
474	REMACOPSE-2020-09-003	ACC	35	centimetros
475	REMACOPSE-2020-09-004	ACC	54	centimetros
476	REMACOPSE-2020-09-005	ACC	62	centimetros
477	REMACOPSE-2020-09-006	ACC	51	centimetros
478	REMACOPSE-2020-09-007	ACC	69	centimetros
479	REMACOPSE-2020-09-008	ACC	28	centimetros
481	REMACOPSE-2020-09-010	ACC	72	centimetros
482	REMACOPSE-2020-09-011	ACC	71	centimetros
483	REMACOPSE-2020-09-012	ACC	63	centimetros
484	REMACOPSE-2020-09-013	ACC	68	centimetros
485	REMACOPSE-2020-09-014	ACC	62	centimetros
486	REMACOPSE-2020-09-015	ACC	68	centimetros
487	REMACOPSE-2020-09-016	ACC	48	centimetros
488	REMACOPSE-2020-09-017	ACC	61	centimetros
489	REMACOPSE-2020-09-018	ACC	57	centimetros
490	REMACOPSE-2020-09-019	ACC	47	centimetros
491	REMACOPSE-2020-09-020	ACC	66	centimetros
492	REMACOPSE-2020-09-021	ACC	55	centimetros
493	REMACOPSE-2020-09-022	ACC	44	centimetros
494	REMACOPSE-2020-10-001	ACC	60	centimetros
495	REMACOPSE-2020-10-002	ACC	71	centimetros
496	REMACOPSE-2020-10-003	ACC	64	centimetros
497	REMACOPSE-2020-10-004	ACC	53	centimetros
498	REMACOPSE-2020-10-005	ACC	53	centimetros
499	REMACOPSE-2020-10-006	ACC	63	centimetros
500	REMACOPSE-2020-10-007	ACC	71	centimetros
