id	type	language	license	rightsHolder	accessRights	bibliographicCitation	references	institutionId	datasetName	ownerInstitutionCode	basisOfRecord	occurrenceId	fieldNumber	recordedBy	verbatimEventDate	year	month	day	eventTime	continent	country	countryCode	stateProvince	county	locality	decimalLatitude	decimalLongitude	verbatimLongitude	verbatimLatitude	geodeticDatum	verbatimCoordinateSystem	taxonID	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	vernacularName	occurrenceRemarks	lifeStage	habitat	sex	eventRemarks	organismRemarks	disposition	fieldNotes	LCC	cm/m	ACC	cm/m	Envergadura	cm/m	Longitud Total	
11	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201504:002		"Solorzano, Iliana"	13/04/2015	2015	4	13	ND	South America	Ecuador	EC	Manabí	Manta	Santa Marianita	-0.98000037	-80.84316765	517449	9891680	WGS84	UTM	ND	Rhincodon typus	Animalia|Chordata|Chondrichthyes|Orectolobiformes|Rhincodontidae|Rhincodon	Animalia	Chordata	Chondrichthyes	Orectolobiformes	Rhincodontidae	Rhincodon	typus	Tiburón ballena	vivo	ND	ND	hembra	ND	ND	entierro técnico	"SE APLICÓ SALVAMENTO, MURIO POSTERIORMENTE"								
12	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201504:003		"Pincay, Ronald"	22/04/2015	2015	4	22	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.07369627	-80.90532612	510533	9881324	WGS84	UTM	ec.bio.spp.45801	Globicephala macrorhynchus	Animalia|Chordata|Mammalia|Cetacea|Delphinidae|Globicephala	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Globicephala	macrorhynchus	Ballena piloto	muerto	ND	ND	hembra	ND	ND	ND	ND								
13	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201505:001		"Macias, Hilario"	01/05/2015	2015	5	1	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06389822	-80.91025199	509985	9882407	WGS84	UTM	ec.bio.spp.45446	Chelonia mydas	Animalia|Chordata|Reptilia|Testudines|Cheloniidae|Chelonia	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Chelonia	mydas	Tortuga verde	muerto	ND	ND	ND	ND	Interacción con Pesquerias	entierro técnico	PRESENTABA ANZUELO EN ESÓFAGO								
14	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201505:002		"Reyes, Victor"	01/05/2015	2015	5	1	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06375347	-80.91028795	509981	9882423	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Reptilia|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	muerto	ND	ND	hembra	ND	ND	entierro técnico	ESTADO DESCOMPOSICIÓN 3 SIN DEFINIR CAUSA DE MUERTE. NO PRESENTABA EXTREMIDADES								
15	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201505:003		"Bolaños, Carlos"	29/05/2015	2015	5	29	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06375347	-80.91028795	510510	9881310	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Reptilia|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	muerto	ND	ND	ND	ND	ND	entierro técnico	"NO SE IDENTIFICÓ CAUSA MUERTE, ALTA DESCOMPOSICIÓN"								
16	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201505:004		"Pincay, Ronald"	10/05/2015	2015	5	10	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06939888	-80.90741154	510301	9881799	WGS84	UTM	ec.bio.spp.45778	Arctocephalus australis	Animalia|Chordata|Mammalia|Carnivora|Otariidae|Arctophoca	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctophoca	australis	Lobo marino de Galápagos	vivo	ND	ND	hembra	ND	corte	entierro técnico	Presentaba corte en aleta y ocico								
17	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201506:001		"Lopez, Angel"	01/06/2015	2015	6	1	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06216117	-80.91102504	509899	9882599	WGS84	UTM	ec.bio.spp.45446	Chelonia mydas	Animalia|Chordata|Reptilia|Testudines|Cheloniidae|Chelonia	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Chelonia	mydas	Tortuga verde	muerto	ND	ND	ND	Autolisis avanzada	ND	ND	"DESCOMPOSICIÓN 4, NO SE PUDO DETERMINAR CAUSA MUERTE"								
18	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201506:002		"Reyes, Victor"	06/06/2015	2015	6	6	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.07044835	-80.90704298	510334	9817231	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Reptilia|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	muerto	ND	ND	macho	Autolisis 	Interacción con Pesquerias	entierro técnico	"PRESENTABA ESTADO DESCOMPOSICIÓN 2, POSIBLE MUERTE POR ANZUELO"								
19	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201506:003		"Lara, Fausto"	08/06/2015	2015	6	8	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06858464	-80.90789693	510247	9881889	WGS84	UTM	ec.bio.spp.45446	Chelonia mydas	Animalia|Chordata|Reptilia|Testudines|Cheloniidae|Chelonia	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Chelonia	mydas	Tortuga verde	muerto	ND	ND	hembra	Autolisis avanzada	Interacción con Pesquerias	entierro técnico	"ESTADO DESCOMPOSICIÓN 4, NO SE PUDO DETERMINAR CAUSA MUERTE"								
20	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201506:004		"Lara, Fausto"	12/06/2015	2015	6	12	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.07474575	-80.90512834	510555	9881208	WGS84	UTM	ec.bio.spp.45446	Chelonia mydas	Animalia|Chordata|Reptilia|Testudines|Cheloniidae|Chelonia	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Chelonia	mydas	Tortuga verde	muerto	ND	ND	hembra	ND	Interacción con Pesquerias	entierro técnico	PRESENTÓ AFECTACIÓN EXTERNA								
21	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201506:005		"Lara, Fausto"	19/06/2015	2015	6	19	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06157311	-80.91139357	509858	9882664	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Reptilia|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	muerto	ND	ND	macho	Autolisis avanzada	fractura	entierro técnico	"ESTADO DESCOMPOSICIÓN No. 2, POSIBLE CAUSA DE INTERACCIÓN CON PESQUERÍA"								
22	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201506:006		"Lara, Fausto"	02/06/2015	2015	6	2	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06844894	-80.9080767	510227	9881904	WGS84	UTM	ec.bio.spp.45808	Stenella coeruleoalba	Animalia|Chordata|Mammalia|Cetacea|Delphinidae|Stenella	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	coeruleoalba	Delfín listado	muerto	ND	ND	ND	ND	ND	entierro técnico	ND								
23	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos/mortalidad de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAATE	HumanObservation	EC:AAN:VAR:201506:007		"Lara, Fausto"	12/06/2015	2015	6	12	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06307493	-80.91043178	509965	9882498	WGS84	UTM	ec.bio.spp.48283	Sula nebouxii	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula	Animalia	Chordata	Aves	Suliformes	Sulidae	Sula	nebouxii	Piquero de patas azules	muerto	ND	ND	ND	ND	ND	entierro técnico	ND								
